Data;Valori;Latitude;Longitude
08/05/2016 13:00;3.4;444219;80139
08/05/2016 14:00;3.1;444219;80139
08/05/2016 15:00;2.1;444219;80139
08/05/2016 16:00;2.8;444219;80139
08/05/2016 17:00;2.0;444219;80139
08/05/2016 18:00;1.5;444219;80139
08/05/2016 19:00;2.2;444219;80139
08/05/2016 20:00;2.2;444219;80139
08/05/2016 21:00;1.4;444219;80139
08/05/2016 22:00;2.1;444219;80139
08/05/2016 23:00;2.3;444219;80139
09/05/2016 00:00;2.5;444219;80139
09/05/2016 01:00;2.0;444219;80139
09/05/2016 02:00;0.8;444219;80139
09/05/2016 03:00;2.0;444219;80139
09/05/2016 04:00;1.7;444219;80139
09/05/2016 05:00;1.5;444219;80139
09/05/2016 06:00;1.3;444219;80139
09/05/2016 07:00;2.2;444219;80139
09/05/2016 08:00;2.8;444219;80139
09/05/2016 09:00;2.6;444219;80139
09/05/2016 10:00;2.2;444219;80139
09/05/2016 11:00;2.7;444219;80139
09/05/2016 12:00;2.7;444219;80139
09/05/2016 13:00;2.3;444219;80139
09/05/2016 14:00;2.3;444219;80139
09/05/2016 15:00;1.2;444219;80139
09/05/2016 16:00;1.8;444219;80139
09/05/2016 17:00;1.2;444219;80139
09/05/2016 18:00;1.2;444219;80139
09/05/2016 19:00;1.4;444219;80139
09/05/2016 20:00;2.0;444219;80139
09/05/2016 21:00;1.0;444219;80139
09/05/2016 22:00;1.6;444219;80139
09/05/2016 23:00;2.4;444219;80139
10/05/2016 00:00;1.6;444219;80139
10/05/2016 01:00;1.5;444219;80139
10/05/2016 02:00;1.9;444219;80139
10/05/2016 03:00;1.5;444219;80139
10/05/2016 04:00;1.9;444219;80139
10/05/2016 05:00;0.9;444219;80139
10/05/2016 06:00;1.1;444219;80139
10/05/2016 07:00;1.3;444219;80139
10/05/2016 08:00;1.0;444219;80139
03/05/2016 01:00;4.0;445613;84214
03/05/2016 02:00;4.4;445613;84214
03/05/2016 03:00;5.7;445613;84214
03/05/2016 04:00;3.9;445613;84214
03/05/2016 05:00;5.2;445613;84214
03/05/2016 06:00;4.8;445613;84214
03/05/2016 07:00;5.2;445613;84214
