5741;4272;2016-04-2014:47;52.3857;-1.1745
5730;265;2016-04-2014:25;52.40414699;-1.1744883
5720;1914;2016-04-2015:07;51.50762755;-0.07903067
5720;1914;2016-04-2018:30;52.3833;-1.21667
5720;1914;2016-04-2019:30;51.14329381;0.87496985
5720;1914;2016-04-2019:49;51.258497;0.617015
5720;1914;2016-04-2019:55;53.38433046;-6.25994791
5720;1914;2016-04-2020:00;53.34814789;-6.25933388
5720;1914;2016-04-2020:30;52.9347;-1.19378
5715;1914;2016-04-2018:17;53.7674544;-2.7452777
5708;5451;2016-04-2017:30;53.7674544;-2.7452777
5708;5451;2016-04-2018:00;53.7675952;-2.7451857
5679;1561;2016-04-2017:00;53.2918283;-9.046773699999999
5663;1389;2016-04-2013:11;52.34724269;-8.3770752
5663;1389;2016-04-2016:55;53.596835;-9.975543
5646;4005;2016-04-2013:07;53.264275;-6.230309
5633;6196;2016-04-2108:02;53.3384581;-6.3264238
5623;707;2016-04-2107:34;53.38433805;-9.246797559999999
5606;2083;2016-04-2107:30;53.5643632;-7.7645964
5595;5322;2016-04-2020:28;51.776151;-8.305332999999999
5595;5322;2016-04-2020:31;53.5643632;-7.7645964
5595;5325;2016-04-2021:48;53.31666687;-6.29502769
5595;5325;2016-04-2105:50;52.29477694;-8.082568650000001
5594;5320;2016-04-2020:22;53.3810194;-6.2398772
5582;390;2016-04-2020:22;53.0980052;-7.9096882
5574;873;2016-04-2020:13;53.4169475;-6.3841034
5563;6026;2016-04-2020:11;53.34047988;-6.22474194
5552;6079;2016-04-2019:32;53.1764116;-7.7269815
5552;6078;2016-04-2019:50;53.5636294;-7.7641521
5551;6079;2016-04-2018:42;53.851622;-6.5542058
5551;6079;2016-04-2018:42;52.29449438;-8.081989289999999
5524;2765;2016-04-2018:41;53.252079;-7.543406
5502;421;2016-04-2012:57;54.2512348;-8.551232000000001
5502;421;2016-04-2016:59;53.3634803;-9.025869370000001
5502;421;2016-04-2017:04;53.3958006;-8.9916334
