DENOMINAZIONE;LATITUDINE_N;LONGITUDINE_E
ROBILANTE VERMENAGNA;441544;73103
RASTELLO ELLERO;441553;74352
ROCCAFORTE MONDOVI';441836;74439
RIFUGIO MONDOVI';441130;74356
ROCCHETTA BELBO;443805;81028
RODDINO;443443;80032
RODELLO;443823;80311
ROSSANA VARAITA;443315;72630
BERGALLI;442424;81056
PIAN DELLE BARACCHE;443256;70800
SAN DAMIANO MACRA;443025;71501
TORRE MONDOVI' CORSAGLIA;442131;75409
LEVALDIGI GRANA;443332;73705
ANDONNO GESSO;441727;72603
VALDIERI;441217;71605
VILLANOVA SOLARO;444405;73412
VINADIO STURA DI DEMONTE;441810;70652
COLLE LOMBARDA;441228;70852
VINADIO S. BERNOLFO;441542;70238
NERAISSA;441929;70906
ASTI VERSA;445527;81359
ASTI;445504;81124
ASTI TANARO;445306;81244
CASTAGNOLE LANZE;444505;81043
CASTELL'ALFERO;445917;81323
CASTELNUOVO BELBO;444754;82508
CESSOLE BORMIDA;443858;81457
MOMBALDONE BORMIDA;443408;82006
MONTECHIARO D'ASTI;450025;80604
NIZZA MONFERRATO;444552;82045
SAN DAMIANO BORBORE;445031;80454
SEROLE BRIC PUSCHERA;443347;81530
ACQUI TERME;444043;82847
ARQUATA SCRIVIA;444057;85251
BASALUZZO;444543;84052
BASALUZZO ORBA;444603;84018
BRIC CASTELLARO;443834;84725
CAPANNE MARCAROLO;443347;84606
CABELLA LIGURE;444026;90531
CAPANNE DI COSOLA;444032;91201
PIANI DI CARREGA;443649;91115
CASAL CERMELLI ORBA;444958;83753
CASALE MONFERRATO;450756;83015
CASALE MONFERRATO PO;450831;82652
CASSINE BORMIDA;444505;83233
CASTELLANIA;444755;85552
CALDIROLA;444305;90905
FRACONALTO;443531;85247
GARBAGNA;444703;85931
GUAZZORA SCRIVIA;450143;85235
ISOLA S. ANTONIO PO;450210;84919
ISOLA S. ANTONIO;450115;85114
MASIO TANARO;445218;82438
VOLPEDO CURONE;445313;85859
MONTECASTELLO TANARO;445648;84104
NOVI LIGURE;444708;84526
PARETO;443138;82322
PONZONE CIMAFERLE;443313;82932
PONZONE BRIC BERTON;443106;83221
ROCCAFORTE LIGURE;444043;90123
SAN SALVATORE MONFERRATO;445935;83359
SERRAVALLE SCRIVIA;444330;85139
SEZZADIO;444658;83402
CASTELLAR PONZANO;444938;85048
VALENZA PO;450303;83754
VIGNALE MONFERRATO;450106;82430
BELLINO;443430;65859
SETTEPANI;441410;81141
CALIZZANO;441411;80706
MURIALDO BORMIDA DI MILLESIMO;441815;80930
OSIGLIA;441713;81215
BUSALLA;443330;85647
TIGLIETO ORBA;443128;83705
ALPE VOBBIA;443431;90436
BIELLA;453331;80323
OROPA;453736;75853
CRODO;461336;81926
FORMAZZA BRUGGI;462052;82544
FORMAZZA;462600;82130
MOTTARONE;455254;82713
SOMERARO;455320;83043
MOTTARONE - BAITA CAI;455249;82649
SAMBUGHETTO;455422;81841
VILLADOSSOLA OVESCA;460404;81527
VACCERA;445230;71206
BORGONE;450659;71438
CANDIA;451916;75355
CASTIGLIONE TORINESE PO;450750;74705
SAN SICARIO;445803;65010
CESANA THURAS;445323;65038
COLLE BERCIA;445516;64659
ROSONE;452601;72506
BERTODASCO;452622;72435
LUSERNA S. GIOVANNI;444846;71428
MONCALIERI SANGONE;450028;74007
MONCALIERI PO;450003;74045
BAUDUCCHI;445736;74231
LE SELLE;450316;65502
SALBERTRAND;450416;65338
SANTENA BANNA;445641;74655
SPARONE;452435;73238
TORINO ALENIA;450447;73639
TORINO GIARDINI REALI;450418;74131
TORINO VIA DELLA CONSOLATA;450433;74042
TORINO REISS ROMOLI;450645;74015
TORINO MURAZZI PO;450406;74231
TORINO STURA DI LANZO;450640;74224
TORINO DORA RIPARIA;450433;74305
TORINO VALLERE;450101;74026
VENARIA LA MANDRIA;451030;73333
VENARIA CERONDA;450803;73753
CRESCENTINO PO;451045;80560
QUINTO VERCELLESE CERVO;452253;82227
TRICERRO;451406;81948
PALESTRO SESIA;451706;83225
MOMO AGOGNA;453416;83252
BARGE;444355;71459
BELVEDERE LANGHE;443001;75830
CAMERANA BORMIDA;442610;80925
SAN BARTOLOMEO PESIO;441616;73947
CHIUSA PESIO;441400;73937
MONASTEROLO CASOTTO;441839;75614
PERLO;441949;80500
PRUNETTO;443035;80947
SALUZZO;443756;72841
PALANFRE';441136;72920
BUTTIGLIERA D'ASTI;450112;75558
LOAZZOLO;444027;81360
ROCCAVERANO;443638;81804
LAVAGNINA LAGO;443620;84517
GAVI;444138;84746
SARDIGLIANO;444522;85424
PINO TORINESE;450229;74555
MALLARE;441714;81758
FINIERE;450701;65759
COLLERETTO;452632;73935
LA LOGGIA CHISOLA;445814;74011
PRALY;445417;70327
LAGO PILONE;450008;65234
SUSA DORA RIPARIA VIA MAZZINI;450813;70252
SUSA CENISCHIA;450831;70322
PIETRASTRETTA;450831;70315
VILLAFRANCA PIEMONTE PO;444648;73044
VILLAFRANCA PELLICE;444843;72958
MASSAZZA;452822;81011
BIELMONTE;453940;80433
ALPE CHEGGIO;460506;80656
CERANO;452452;84805
